JapaneseName	EnglishName
Root	Root
大ヒット_一閃	Great_Hit_Flash
大ヒット_血	Great_hit_blood
大ヒット_閃光	Great_Hit_flash
大ヒット_モデル血	Big_Hit_model_blood
大控ヒット_閃光	Motor_Hot_flash
大控ヒット_一閃	Motoyl_of_MaWhension
大ヒット_火花	Great_hit_spark
大控ヒット_火花	Motor_Hit_Spark
ヒット_火の粉2	Hit_Fire_Powder_2
ヒット_火の粉1	Hit_fire_powder_1
斬撃_火花大1	Slashing_Spark_large_1
斬撃_火花大2	Slashing_Spark_large_2
斬撃_火花小1	Slashing_Slow_1
斬撃_一閃小	Slashing_first_flash
斬撃_一閃大	Slashing_Ist
打撃_ブラー小	Strike_blur
打撃_火花大1	Strike_Spark_large_1
打撃_火花大2	Stroke_Spark_large_2
打撃_火花小1	Stroke_Slow_1
打撃_火花小2	Stroke_spark_small_2
ガンナーヒット_閃光	Gunner_hit_flash
ガンナーヒット大_一閃_近	Gunner_hit_big_1_flash
ガンナーヒット大_一閃_遠	Gunner_hit_large_Flash
ガンナーヒット小_一閃	Gunner_hit_small_one_flash
ガンナーヒット_火花1	Gunner_hit_spark_1
ガンナーヒット_大_火花	Gunner_hit_big_spark
属性_火_水面用	Attribute_fire_for_water_surface
属性_火1	Attribute_fire_1
属性_火2	Attribute_fire_2
属性_火3	Attribute_fire_3
属性_水1	Attribute_water_1
属性_水2	Attribute_water_2
属性_雷1	Attribute_lightning_1
属性_雷2_重かったら消す	Attribute_Lightning_2_If_it_is_heavy
属性_雷3	Attribute_lightning_3
属性_氷1	Attribute_ice_1
属性_氷2	Attribute_ice_2
属性_氷3	Attribute_ice_3
属性_龍1	Attribute_dragon_1
属性_龍2_重かったら消す	Attribute_Dragon_2_If_it_is_heavy
属性_龍3	Attribute_dragon_3
属性_毒1	Attribute_Poison_1
属性_毒2	Attribute_Poison_2
属性_毒3	Attribute_poison_3
属性_麻痺1	Attribute_paralysis_1
属性_麻痺2	Attribute_paralysis_2
属性_麻痺3	Attribute_paralysis_3
属性_睡眠1	Attributes_Sleep_1
属性_睡眠2	Attribute_Sleep_2
属性_睡眠3	Attribute_Sleep_3
属性_減気1	Attribute__気_1
属性_減気2	Attribute__気_2
属性_減気3	Attribute_減_気_3
属性_爆破_1_1	Attribute_blast_1_1
属性_爆破_1_2	Attribute_blast_1_2
属性_爆破_2_1	Attribute_blast_2_1
属性_爆破_2_2	Attribute_Blasting_2_2
属性_こやし1	Attribute_Koyashi_1
属性_こやし2	Attributes_Koyashi_2
属性_こやし3	Attribute_Koyashi_3
属性_捕獲1	Attribute_Capture_1
属性_捕獲2	Attributes_Capture_2
属性_ピヨリ1	Attributes_Pyori_1
属性_ピヨリ2	Attribute_Pyori_2
属性_ピヨリ3	Attributes_Pyori_3
属性_会心1	Attribute_Meetingle_1
属性_マイナス会心1	Attributes_minus_core_1
カン1	Kang_1
カン2	Kang_2
属性_爆破1	Attribute_Blasting_1
属性_爆破2	Attribute_Blast_2
属性_爆破3	Attribute_Blasting_3
39:Explosion_1	39: Explosion_1
101:Slash_S_Op	101: Slash_S_OP
2:Strike_L	2: strike_l
105:Lance_S_Op	105: LANCE_S_OP
35:Poison	35: Poison
43:Koyashi	43: Keep
106:Gunner_L_Op	106: Gunner_L_OP
30:Fire	30: FIRE
50:＋Kaishin	50: + Kaishin
